,Brand,Name,ID,sku
0,estÃ©e lauder,double wear stay-in-place foundation,xlsimpprod14641507,2309420
1,urban decay,face bond self-setting waterproof foundation,pimprod2044818,2623593
2,it cosmetics,cc+ cream with spf 50+,xlsimpprod5770257,2264064
3,dior,dior forever fluid skin glow foundation,pimprod2036824,2605019
4,bareminerals,original loose powder foundation spf 15,vp11362,2093947
5,lancÃ´me,teint idole ultra wear 24h full coverage foundation,pimprod2039028,2608119
6,mac,studio fix powder plus foundation makeup,xlsimpprod15921242,2510813
7,too faced,born this way natural finish longwear liquid foundation,xlsimpprod12621017,2290021
8,nars,light reflecting advanced skincare foundation,pimprod2030141,2591117
9,mac,studio fix fluid spf15 24hr matte foundation + oil control,pimprod2044825,2622206
10,bareminerals,complexion rescue tinted moisturizer mineral spf 30,xlsimpprod11771035,2283390
11,bareminerals,barepro 16-hr skin-perfecting powder foundation,pimprod2030155,2589559
12,fenty beauty by rihanna,pro filt'r soft matte longwear liquid foundation,pimprod2029862,2592558
13,clinique,even better makeup broad spectrum spf 15 foundation,xlsimpprod10791919,2206255
14,it cosmetics,cc+ nude glow lightweight foundation + glow serum with spf 40,pimprod2031824,2594106
15,estee lauder,futurist hydra rescue moisturizing foundation spf 45,pimprod2013152,2577966
16,bareminerals,matte foundation broad spectrum spf 15,xlsimpprod1480002,2209455
17,pur,4-in-1 love your selfie longwear foundation & concealer,pimprod2005671,2544533
18,it cosmetics,cc+ cream natural matte foundation with spf 40,pimprod2044261,2621797
19,it cosmetics,bye bye foundation full coverage moisturizer with spf 50+,xlsimpprod17611001,2523634
20,fenty beauty by rihanna,eaze drop blurring skin tint,pimprod2031372,2592608
21,it cosmetics,cc+ cream illumination spf 50+,xlsimpprod12251079,2287681
22,nars,natural radiant longwear foundation,xlsimpprod17421227,2523136
23,morphe,lightform extended hydration foundation,pimprod2043869,2621355
24,tarte,face tape full coverage foundation,pimprod2003933,2540290
25,lancÃ´me,dual finish multi-tasking lightweight pressed powder foundation,xlsimpprod3650148,2235364
26,pÃ¼r,4-in-1 pressed mineral makeup broad spectrum spf 15,xlsimpprod3790037,2236106
27,maybelline,super stay 24h skin tint + vitamin c,pimprod2039657,2610817
28,beautycounter,skin twin featherweight foundation,pimprod2038184,2606483
29,clinique,superpowder double face makeup foundation,xlsimpprod10791897,2260625
30,it cosmetics,cc+ airbrush perfecting powder foundation,pimprod2005433,2543894
31,kvd beauty,good apple full-coverage transfer-proof serum foundation,pimprod2037872,2604570
32,nars,pure radiant tinted moisturizer spf 30,xlsimpprod15251329,2504411
33,l'orÃ©al,infallible fresh wear 24hr foundation,pimprod2002481,2538170
34,bareminerals,barepro 24hr wear skin-perfecting matte liquid foundation mineral spf 20,pimprod2043221,2619781
35,polite society,more than a pretty face skin-caring foundation,pimprod2040619,2615174
36,lancÃ´me,rÃ©nergie lift makeup lightweight liquid foundation spf 27,xlsimpprod3650154,2561672
37,clinique,beyond perfecting foundation + concealer,xlsimpprod12021005,2282753
38,clinique,even better clinical serum foundation broad spectrum spf 25,pimprod2021174,2574625
39,natasha denona,hy-glam powder foundation,pimprod2044289,2624364
40,it cosmetics,celebration full coverage powder foundation,xlsimpprod5770253,2264055
41,l'orÃ©al,true match nude hyaluronic tinted serum,pimprod2025003,2582143
42,charlotte tilbury,airbrush flawless longwear foundation,pimprod2044233,2624530
43,it cosmetics,your skin but better foundation + skincare,pimprod2017112,2568683
44,tarte,amazonian clay 16-hour full coverage foundation,pimprod2025023,2581375
45,laura mercier,real flawless weightless perfecting waterproof foundation,pimprod2038437,2608627
46,it cosmetics,mini cc+ cream with spf 50+,pimprod2013015,2278481
47,laura mercier,tinted moisturizer natural skin perfector broad spectrum spf 30,pimprod2012417,2560092
48,maybelline,fit me matte + poreless liquid foundation,xlsimpprod11861007,2282913
49,mac,studio radiance serum powered foundation,pimprod2040797,2613961
50,clinique,almost powder makeup broad spectrum spf 18 foundation,xlsimpprod10791895,2160688
51,chanel,ultra le teint ultrawear all-day comfort flawless finish foundation,pimprod2030114,2585239
52,clinique,superbalanced makeup foundation,xlsimpprod10791911,2153598
53,bobbi brown,skin long-wear weightless foundation spf 15,pimprod2024898,2583683
54,lancÃ´me,teint idÃ´le ultra wear foundation stick,pimprod2023126,2577700
55,lancÃ´me,teint idole ultra wear care and glow foundation,pimprod2033657,2598637
56,about-face,the performer skin-focused foundation,pimprod2043010,2618950
57,charlotte tilbury,charlotte's beautiful skin foundation,pimprod2043365,2619495
58,dior,dior forever foundation fluid matte,pimprod2036825,2604875
59,clinique,stay-matte oil-free makeup foundation,xlsimpprod10791929,2247037
60,clinique,acne solutions liquid makeup foundation,pimprod2043524,2619813
61,fenty beauty by rihanna,eaze drop blur + smooth foundation stick,pimprod2041564,2614177
62,fenty beauty by rihanna,soft'lit naturally luminous hydrating longwear foundation,pimprod2045514,2624152
63,hourglass,veil hydrating skin tint,pimprod2040571,2611435
64,morphe,filter effect soft-focus foundation,pimprod2022516,2577758
65,urban decay,face bond self-setting waterproof foundation,pimprod2044818,2623593
66,jane iredale,purepressed base mineral foundation refill,pimprod2033383,2595091
67,dior,dior forever fluid skin glow foundation,pimprod2036824,2605019
68,anastasia beverly hills,"medium coverage, natural finish luminous foundation",pimprod2008586,2551421
69,tarte,babassu foundcealer dewy foundation spf 20,pimprod2006408,2542892
70,tula,radiant skin brightening serum skin tint spf 30,pimprod2032850,2598954
71,mac,studio fix fluid spf15 24hr matte foundation + oil control,pimprod2044825,2622175
72,l'orÃ©al,infallible 24h fresh wear foundation in a powder,pimprod2021871,2575170
73,chanel,les beiges water-fresh tint,pimprod2030055,2574253
74,clinique,even better refresh hydrating and repairing makeup foundation,pimprod2004194,2541677
75,kvd beauty,good apple skin-perfecting hydrating foundation balm,pimprod2022990,2577085
76,chanel,les beiges healthy glow foundation hydration and longwear,pimprod2030080,2571508
77,clinique,beyond perfecting powder foundation + concealer,xlsimpprod12991071,2291649
78,pÃ¼r,4-in-1 tinted moisturizer broad spectrum spf 20,xlsimpprod4310009,2241131
79,too faced,born this way natural finish longwear liquid foundation,xlsimpprod12621017,2290021
80,pÃ¼r,4-in-1 love your selfie longwear foundation & concealer,pimprod2005671,2544510
81,nars,light reflecting advanced skincare foundation,pimprod2030141,2591148
82,chanel,vitalumiÃ¨re aqua ultra-light skin perfecting sunscreen makeup broad spectrum spf 15,pimprod2030103,2528581
83,smashbox,halo healthy glow tinted moisturizer broad spectrum spf 25,pimprod2016307,2568499
84,polite society,more than a pretty face skin-caring foundation,pimprod2040619,2615146
85,estÃ©e lauder,futurist skin tint serum foundation spf 20,pimprod2041704,2612381
86,clinique,redness solutions makeup broad spectrum spf 15 with probiotic technology foundation,xlsimpprod10791925,2567629
87,morphe,lightform extended hydration foundation,pimprod2043869,2621366
88,estÃ©e lauder,double wear sheer long-wear foundation spf 19,pimprod2027234,2586142
89,e.l.f. cosmetics,camo hydrating cc cream spf 30,pimprod2041765,2617546
90,urban decay cosmetics,hydromaniac tinted moisturizer,pimprod2021082,2567739
91,estee lauder,futurist hydra rescue moisturizing foundation spf 45,pimprod2013152,2577966
92,maybelline,super stay full coverage foundation,xlsimpprod17161541,2519481
93,chanel,nÂ°1 de chanel revitalizing foundation,pimprod2029950,2605425
94,smashbox,always on skin-balancing foundation with hyaluronic acid + adaptogens,pimprod2040206,2610447
95,maybelline,super stay 24h skin tint + vitamin c,pimprod2039657,2610817
96,l'orÃ©al,true match super-blendable foundation,pimprod2034733,2602421
97,estÃ©e lauder,double wear stay in place matte powder foundation refill,pimprod2031253,2593713
98,dior,forever natural nude foundation,pimprod2036826,2604394
99,mac,studio radiance serum powered foundation,pimprod2040797,2613967
100,maybelline,super stay up to 24hr hybrid powder-foundation,pimprod2036593,2603936
101,dermablend,flawless creator liquid foundation drops,xlsimpprod16661005,2515171
102,tarte,amazonian clay blurring powder foundation,pimprod2036934,2604704
103,pat mcgrath labs,skin fetish: sublime perfection foundation,pimprod2040434,2613894
104,hourglass,vanish seamless finish foundation stick,pimprod2020481,2575932
105,wyn beauty,featuring you hydrating skin enhancing tint spf 30,pimprod2044322,2622290
106,hourglass,ambient soft glow foundation,pimprod2033509,2599657
107,l'orÃ©al,infallible pro-matte liquid longwear foundation,xlsimpprod11861081,2283483
108,fenty beauty by rihanna,pro filt'r soft matte powder foundation,pimprod2031422,2592359
109,covergirl,simply ageless skin perfector essence foundation,pimprod2042952,2618803
110,colourpop,pretty fresh hyaluronic hydrating foundation,pimprod2016944,2566879
111,l'orÃ©al,age perfect radiant serum foundation,pimprod2017262,2569315
112,milani,conceal + perfect 2-in-1 foundation + concealer,xlsimpprod17081067,2519968
113,r.e.m. beauty,sweetener foundation,pimprod2041162,2603299
114,chanel,les beiges water-fresh complexion touch,pimprod2037597,2595874
115,juvia's place,i am magic velvety matte foundation,pimprod2006831,2550494
116,juice beauty,phyto-pigments flawless serum foundation,xlsimpprod13521059,2295701
117,tarte,shape tape cloud cc cream broad spectrum spf 15 sunscreen,pimprod2030161,2590218
118,exa,high fidelity foundation,pimprod2019009,2573283
119,bareminerals,original pure serum radiant natural liquid foundation mineral spf 20,pimprod2040524,2611614
120,nyx professional makeup,can't stop won't stop 24hr full coverage matte foundation,xlsimpprod18871063,2531978
121,tarte,travel-size face tape full coverage foundation,pimprod2012651,2557013
122,youthforia,date night skin tint serum foundation,pimprod2040786,2613504
123,revolution beauty,skin silk serum foundation,pimprod2043761,2618615
124,estÃ©e lauder,double wear makeup pump,xlsimpprod16321438,2515746
125,revolution beauty,conceal & define full coverage foundation,pimprod2000323,2536558
126,estÃ©e lauder,double wear maximum cover camouflage foundation for face and body spf 15,xlsimpprod16501415,2511727
127,maybelline,fit me dewy + smooth foundation,xlsimpprod2980151,2225223
128,bobbi brown,vitamin enriched hydrating skin tint spf 15,pimprod2040931,2612297
129,ulta beauty collection,tinted moisturizer spf 24,pimprod2030732,2585268
130,juvia's place,i am magic powder foundation,pimprod2037104,2607291
131,blk/opl,true color skin perfecting stick foundation spf 15,pimprod2022198,2579236
132,juvia's place,i am magic natural radiance foundation,pimprod2037106,2607324
133,essence,16h cover & last powder foundation,pimprod2033174,2597553
134,covergirl,olay simply ageless instant wrinkle-defying foundation with spf 28,xlsimpprod1060098,2165912
135,milani,conceal + perfect smooth finish cream-to-powder foundation,pimprod2012993,2558880
136,smashbox,mini halo healthy glow tinted moisturizer broad spectrum spf 25,pimprod2033372,2596512
137,covergirl,olay simply ageless 3-in-1 liquid foundation,xlsimpprod13501013,2296380
138,wet n wild,photofocus liquid foundation,xlsimpprod16731069,2518267
139,revolution beauty,irl filter longwear foundation,pimprod2033090,2597565
140,juvia's place,i am magic glow radiance booster,pimprod2044250,2620803
141,jane iredale,beyond matte liquid foundation,pimprod2008017,2552811
142,burt's bees,mattifying powder foundation,xlsimpprod16781002,2518238
143,maybelline,instant age rewind eraser treatment foundation,pimprod2043641,2620458
144,l'orÃ©al,age perfect 4-in-1 tinted face balm foundation,pimprod2034423,2601959
145,hourglass,illusion hyaluronic skin tint,pimprod2020463,2575960
146,jane iredale,refillable compact,pimprod2031651,2595249
147,nudestix,tinted cover foundation,pimprod2008837,2552723
148,ulta beauty collection,adjustable coverage foundation,xlsimpprod5721072,2260079
149,uoma beauty,say what?! foundation,pimprod2033346,2593663
150,j.cat beauty,aquasurance compact foundation,pimprod2000221,2550026
151,revlon,illuminance skin-caring foundation,pimprod2036478,2605534
152,dior,forever natural matte velvet compact foundation,pimprod2045605,2625554
153,pacifica,kind tint tinted serum,pimprod2030679,2591360
154,revlon,illuminance serum tint,pimprod2042614,2618859
155,covergirl,clean fresh skin milk foundation,pimprod2011577,2556836
156,covergirl,trublend matte made liquid foundation,pimprod2000386,2533518
157,l.a. girl,pro coverage liquid foundation,xlsimpprod15711049,2505343
158,flower beauty,light illusion liquid foundation,xlsimpprod17631333,2525008
159,essence,keep me covered long-lasting foundation,pimprod2037417,2603112
160,ulta beauty collection,moisturizing foundation stick,xlsimpprod18691125,2529950
161,e.l.f. cosmetics,camo powder foundation,pimprod2030787,2597461
162,ulta beauty collection,velvet matte longwear foundation,pimprod2020823,2560234
163,kiko milano,full coverage 2-in-1 foundation & concealer,pimprod2020414,2576034
164,well people,bio stick foundation,pimprod2008575,2553269
165,l.a. girl,pro.matte foundation,xlsimpprod17631407,2522793
166,e.l.f. cosmetics,flawless satin foundation,xlsimpprod14541123,2554506
167,tarte,travel size shape tape cloud cream broad spectrum spf 15 sunscreen,pimprod2030162,2590169
168,kvd beauty,lock-it foundation,pimprod2018138,2570570
169,lorac,pro soft focus longwear foundation,pimprod2013331,2558415
170,kiko milano,active foundation,pimprod2036981,2607365
