,Brand,Name,ID,sku,comments
0,nyx professional makeup,buttermelt pressed powder blush,pimprod2045333,2624632," * [I received this product in exchange for my honest review] I'm obsessed with Nick's Buttermilk Blush! First of all, it smells amazing—like, I legit want to sniff it all day. The pigmentation is on point, so you definitely get your money's worth. I got the shade Filling Butta (also says Shimmering Terracotta on the packaging), and I am so here for it.

Even though it's technically a blush, it actually works beautifully as a bronzer, which is exactly how I've been using it. The shimmer in it gives such a warm, glowing finish, and it's perfect for adding a subtle sun-kissed vibe. Honestly, it does its job—and does it well. All-in-all, it's a fun, versatile product that I'd recommend if you want something that doubles as blush and bronzer * I've bought two of the Buttermelt blushes and the colors of the makeup don't match the case.  I bought Butta Together and For the Butta.  Both look too artificial and vivid on my skin, not natural at all.  FtB is not soft rose, it's bright magenta. * Very pigmented * [I received this product in exchange for my honest review] love the bronzers but I don't think the blushes ade for me , I have dry skin on my cheeks so that tends to emphasize my pores and my skin a lot , it's really pretty it's just the shimmer isn't my thing in thw blushes . packaging is nice and sleek , pigment is there 10/10 and no scent , it's an amazing product just not for me . * [I received this product in exchange for my honest review] I've just started becoming a blush girl, and I must say this blush is amazing. It's a blush that's kind of mixed with a highlighter so it's kind of like a two and one and I'm obsessed. * This blush is absolutely stunning! I have the shade Butta Together and I love the baby pink tones! It blends so seamlessly and stays in place. It also gives the most beautiful shine effect. * This will last a long time especially since I accidentally bought 2 but its great color and easy to work with."
1,perricone md,no makeup blush,pimprod2004408,2541775," * This is by far my favorite EVER blush!! I have goofy combo skin and some fine lines-this blush goes on so nicely and it doesn't make my face look more oily in my t zone and it does not settle into drier skin and lines! Absolutely worth the price and I hope they never stop making this blush! * I love this and the color but it used to have spf in it. Now it's just a regular blush. I noticed the brand has been doing away with the products being spf. Which is a shame since that's the reason I stocked up in early spring. Now since it has no spf, I am in no hurry to purchase. I still miss there spf gloss that used to be this color. * I've been using this blush for over a year now and I love this stuff!  I have dry, flaky skin and using powder blush accentuates my dry spots. This blush gives me a beautiful glow with some added moisture.  Long lasting and beautiful! I really think this blush would be good for all skin types especially dryer skin, a little goes a long way! * I love this blush in the summer when I need a bit of a boost on my cheeks for going out after doing some sun loving activities. I have sensitive skin, so when working outdoors I can only have sunscreen. Due to the sunscreen in the blush this helps being able to put some neutral makeup on for work without the risk of my face getting sunburned with regular makeup. I love the neutral color. Perricone MD used to sell an spf lipgloss in this color as well, I wish they brought back the lipgloss as it smelled great and worked fantastically. * CONS 
1. This blush burnt my skin. 
I applied the blush almost daily for several months. 2 weeks ago the skin on my cheek bones where the blush touched (in the exact shape I apply my blush) got a terrible allergic reaction: painful, red, extremely dry and bumpy. It has been several days of using soothing skincare, and the irritation is still there, although very slowly subsiding. 
2. As other reviewershave mentioned, the cap cracks easily when you screw the top closed. 

PROS 
The shade is buildable and starts very subtle. I have light skin, cool undertone, and this blush looked beautiful. * i only used this once or twice. i screwed the cap on too tight one time and the lid breaks and the stopper sank to the bottom. please replace the cheap plastic with metal. * I love the color of this blush and it blends beautifully. Big drawback though is the packaging. The lid completely cracked when I tightened it. I love this blush but now I can't take it anywhere. Please fix this packaging!!!!!"
2,e.l.f. cosmetics,camo liquid blush,pimprod2042954,2617738," * My first tike using and i enjoyed it. However, i did feel that it would get a lil patchy after my second use. Im not sure if it was the products under but i noticed it looked patchy. Would like to try a deeper berry color * Dewy without being glossy. Very complimentary color and could be built up if you wanted. Blends very nicely. * Beautiful color and pigmenation. * Wonderful pigmentation and texture. * This product is really nice. The color pay off is good, but I did not wear it for more than 4 hours so I am not sure of how long this cream blush will last. I would buy this product in another color. Easy to use and blendable. [I received this product in exchange for my honest review] * I received this product for free for my honest review and I thought the product worked really well. The lilac color was pigmented but was buildable. You can use a light wash of color and blend it out or build it up depending on how much you used . * These are IT.  They will last forever.  Gorgeous gorgeous.  No need for highlight!  Super pigmented - a little goes a long way so the best way to use these is to tap the product onto your hand, and use the ELF blush brush (a loosely packed angled brush).  Work blush into the brush and then lightly tap onto the cheekbones.  I'm super fair and I was able to used Bronze Bombshell!  I also have Peach Perfect and Dusty Rose.  I'll probably end up with all the colors eventually."
3,dior,rosy glow blush,pimprod2039824,2612203, * I now get the hype of this blush on. The shade pink really adopt the skin tone you have… This is the pink blush on I am looking for…I think it is similar to milani's luminoso shade…without the shimmer…I just think so * I fell in love with the Lilac Pink color. It looks beautiful with my complexion. The packaging is luxe so it gives me a little joy to see it among the more budget friendly makeup I normally use. The blush has a faint fruity scent which is so delightful when applying but fades quickly so is not bothersome. So initially I 100% fell in love with this blush. But after only a few weeks of use it developed hardpan and I couldn't get any product on my brush. Scraping the blush or using tape to remove the upper layer is helping get to the good product but it quickly hardpans again. I should be able to get through the blush but won't repurchase. For that kind of money I expected much better performance. I don't have this problem with the drugstore blushes I use. * I have the lavender shade & you literally have to dig in the product for any pigment. I use this on days where im trying to look like im wearing no makeup. Definitely not worth the price. * I have the lavender shade & you literally have to dig in the product for any pigment. I use this on days where im trying to look like im wearing no makeup. Definitely not worth the price. * Surprised by the high rating on this particular product. The pink has ZERO pigment. Ill try to use a spray on the compact itself to lift the product but it is absolutely not worth the money. * Very pretty blush. I'm hoping it will look great during the summer when I have more color as I chose the cherry shade which is absolutely gorgeous. * I love this blush! I use it over my YSL liquid blush abd the combo is unreal. Please bring back the lavender shade! It's sooo pretty!
4,benefit cosmetics,liquid lip blush & cheek tint,pimprod2008308,2547730," * Four stars for the color alone; FINALLY a lip stain that works on light olives and isn't just an oversaturated red/hot pink. Brands: take notes! This doesn't last as long on the lips as I had hoped, but it is decent. The worst part about this product for me is the rose scent. I absolutely cannot stand rose and I especially don't want it on my lips. Thankfully, the scent does disappear fairly quickly and doesn't linger. * I will not be recommending this product to anyone.  It dried out my lips so badly and the color isn't consistent on my lips and looks splotchy. * It's a little pricey for the size of the product but it's definitely worth it. I really like the color selection and it's convenient for travel. * I would not recommend this to anyone!!  It doesnt stain the lips like it should and it's definitely not worth the price!!  I would not buy this again!! * I love the color the it gives you in lips and cheeks * I don't wear lipstick or gloss; I prefer a natural stain that gives a hint of color but also stands up to my lip balm addiction. I had found the perfect stain at The Body Shop but had to find a replacement once I ran out of my stash. Enter this Benefit lip stain. I love the desert rose color, but this doesn't work anything like my Body Shop stain.  One application gives great natural color that dries quickly, but it also vanishes quickly. There isn't even a hint of tint left after less than an hour of normal wear. Needs some work on the staining part of the formula. * I grabbed the Play Tint color during 50% off sale days because I've  been in search for a good lip stain…but this didn't do it for me. This tint was not a good color of my lips…it's very peach-ish and felt a bit heavy. I did try it with another color over it (to make it work) but still didn't care for it. Returned."
5,nars,blush,pimprod2044741,2621261," * I bought this on sale and I'm happy so far with purchase. I'm pretty pale and this looks nice, doesn't take too much and I like that it has a slight bit of shimmer so my skin looks brighter and healthier. I think it will last me awhile too. * I was so disappointed when I received this blush. It was NOT like the same product I'd been using. Thinking that maybe I'd ordered the wrong color, I went into Ulta and they told me the formula had been changed!!! Not nearly as pretty. I returned for refund. * Very elegant and mature color * I was a little hesitant when I first purchased this. I grabbed this blush during the 21 day beauty sale. I have worn the traditional orgasm blush for years which has shimmer and IMO, it is very sheer and gorgeous . I wanted to try the matte version. It does appear to look a lot darker and almost like it is a totally different color compared to the  orgasm original w/ shimmer, in the pan. Once u put on the blush it is really pretty. Be warned, a little of the matte goes a long way, whereas the original I applied a lot more. I am very pale and this will be great to switch up for fall winter months and spring summer go back to the shimmer version. NARS has the best blush. * First time purchasing anything from NARS. This blush is everything. I totally love it. * Flawless formula, both matte and glowy shades. Velvety, effortlessly blendable, and perfect for any skin type * Color, while complementary to my skin tone, is not as vibrant or long lasting as my other NARS. It also seems to have a new ingredient that irritates my skin. With how expensive NARS is, likely won't purchase again."
6,pixi,on-the-glow blush tinted moisture stick,pimprod2032976,2598116," * This blends into my skin so perfectly and diffuses the redness in my cheeks as well. I apply in a triangular shape and pat in and you cannot tell its there, its so natural. I also love that it is moisturizing, and it doesnt cause me to break out like other blushes ive tried. * Been wanting to try and cream blush for awhile now and I really like this one. Easy to apply and it's such a pretty shade of pink! * A little too Barbie pink for me * Wow… just wow this blush is so pretty i have the ruby shade and it is the prettiest most affordable blush i own. I have fair skin and this makes me look sunkissed and it is so natural but buildable so if you like more blush you can layer it and it will look stunning! * This helped me in the sun and it was like and easy makeup cause during the summer I seem to get darker and the blush helped me so munch buy this product for my tan people love this and a person at my church camp used it she got so many complements on her blush * I love this blush so much!! It was one of the first makeup products I ever got back in 2022 and as of right now, it's almost halfway done, though I also use different blushes right now. I always end up going back to it every now and then though because Ruby has such a beautiful and perfect color and the cream texture makes it last long on your face! It also matches Benetint very well so I usually use this stick on top. If you need a low-cost, high quality blush that looks good, is on the go-compatible, and reliable, get this one! * I got the shade ruby and its amazing! But after 30 minutes its gone. People think i have blish blindness but i have to pack it on un order for it to stay. So convenient and i like the application, unfortunately all together, id rather have a blush that lasts."
7,pur,silky tint creamy multitasking stick,pimprod2044097,2620463," * The color is actually really pretty and love that my lipstick matches my blush and it's all in one.  I also like that is matt and that if I want to gloss it up I could just add on a gloss, or keep it matte.  Most importantly comes from a brand that is natural and healthy. * As a clean beauty enthusiast, I eagerly took the opportunity to try the Silky Tint multitasking stick. I'm new to the brand, but I love these easy two-in-ones that eliminate the guesswork of coordinating lip colors with blush. 

Lately, I've been into skincare makeup, and this stick is pure magic. Not only is it serum-based and infused with peptides, but it also blends into the skin beautifully. You can apply it with a brush or your fingertips, and I found that both methods are equally effective. 

Although I usually stick to warm-toned blushes, Sparkling Rose is a neutral shade that would look great on anyone's skin tone. I expected it to be sheer, but it is packed with pigment. I plan to wear this shade for a Mother's Day brunch, and I'm excited to see how it complements my look.

I used to be obsessed with a similar clean beauty color stick, but I had to keep the inner seal on to prevent it from drying out. Then, when it was reformulated, the formula changed to a more sheer version, which I didn't love as much because I prefer more pigment in my products. I also like the grippy texture of this stick, as it won't slide off my face in the heat.

The lid snaps tightly closed, so you don't have to worry about it popping open in your bag. I added a lip liner, and it wears just as well as a lipstick. I stick to an 80/20 rule, trying to keep my makeup choices more on the clean beauty side, and this is a wonderful addition to my collection—perfect for adding to a Mother's Day gift basket or for the upcoming wedding season. 

It has a dreamy formula and a romantic shade. Best of all, it doesn't contain any harmful toxins or ingredients. I'm enthusiastically looking forward to trying more from this brand! * [I received this product in exchange for my honest review] This was a nice blush. Overall it wasn't my favorite formula- it would occasionally lift my foundation underneath but with patience and a brush application it was nice. * Product goes on smooth but my skin is too tan to see it and I'm not that dark. It completely disappeared on my cheeks. Its not easy to put on your lips if you have a defined cupids bow. * I like this cream stick blush lip color,  it's creamy and a nice natural color and it has staying power.  I like that it does last and last all day long, and it looks very natural.  I also love this as lip color. * This cream blush stick/ lipstick is a great versatile product. It's is a beautiful pink color and it really works well on cheeks or lips. The only issue is that it can be a little greasy and heavy on the cheeks, but it's a great product to carry that works in different applications. * The whole line is sadly so drying"
8,juvia's place,blushed duo,pimprod2025280,2583745," * This blush is very good. Easy to apply. * I love how pigmented this blush is! A little goes a long way and I love the choice of 2 colors! I will definitely be checking out other blush combinations with these palettes * My fav blush i bought 4 * Not pigmented * I love this blush! It's very pigmented and longwearing. I have medium skin, and I definitely have to be light with this blush or it will be too pigmented on my skin. So I use a thinner slanted brush to get a light application, and I don't have any issues. I ordered volume 3 because I thought the brown shade would be a terracotta kind of color, but it shows more pinky red on me. I also thought the other shade would be more red, but it's definitely a berry shade. Not what I was expecting from the photo, but both colors are really gorgeous and flattering on my medium olive skin! * OKAY SO I ALREADY WAS AWARE ABT HOW JUVIAS IS SUCH A GOOD BRAND BUT SHE TRULY SURPRISED ME!!! Ive been trying to get my hands on this blush and i finally did!!! I got the volume 4 and its PIGMENTATION IS AMAZING!! EASY TO APPLY AND HAS A MIRROR!! * This blush is very pigmented . 
I've yet to wear it but its so pretty.
Its very inexpensive."
9,morphe,huephoric rush 3-in-1 silk blush,pimprod2045434,2625272," * Why isnt anyone talking about the shade Touched ? Its unlike any other shade and looks so good on my medium tan skin.  

The formula is excellent too. I found this easier to apply using a denser brush, rather than my usual blush brush. It has a beautiful finish and lasted the entire workday. 

I dont need any more blushes but Im really loving this formula ! * I love this. Already need few back ups. It blends very well, color is very good and it lasts. * I was looking for an alternative to powder blush because of the talc and decided to try this one. I could NOT be happier with this blush! Its creamy and super pigmented so it just takes just little bit to add and blend. I use my finger to dab and then go over with my brush, blends easily and stays all day! * I have been so curious about lavender or purple blushes so I finally ordered this morphe cream blush. Can't believe I waited so long to try this formula! Creamy long lasting & product forever! * I love this blush! I feel like it is very long lasting. It is very pigmented so a little goes a long way. Layered with my powder blush beautifully. * I don't reach for any other blush anymore... this is insanely easy to use. Like I usually just use my fingers to grab the product and work it into where I want it to go! Seriously, it melts into the skin. Kinda have to work fast before it dries, but once you work it into the skin- it has a flawless blurring butter finish. I set it with any blurring powder blush and setting spray for GLAM days, but for everyday wear it lasts all day w/o setting spray or powder. Dewy, skin finish. I am obsessed and will be grabbing again. * I really wanted to like this product but after an hour or so it looks really patchy on the skin and breakd down quickly"
