,Brand,Name,ID,sku,comments
0,est̩e lauder,double wear stay-in-place foundation,xlsimpprod14641507,2309420,
1,urban decay,face bond self-setting waterproof foundation,pimprod2044818,2623593," * I cannot recommend this product. By the end of the night, the color has turned orange. This product oxidizes with long wear. * If you have oily skin definitely give it a try. I have worn this foundation to work for 8-12 hours and it looks great after my shift. No separation and my face didnt look like a greasy mess after a few hours. I even wore it all day in the sun at Disney and it didn't budge. I still set it with powder even though it stated that it's self setting. 10/10 for me * That is a very, very good product. Keep it on the shelf. * This is what replaced their old naked skin weightless foundation and it doesnt even compare. I love they kept the matte finish but this one definitely makes my skin not look as flawless. Almost splotchy in places. Bring back the old one! It was my absolute favorite!!! * I have realllyyy oily skin.  NOTHING lasts and always seems to crease or seperate around my nose, chin, and forehead.  I bought this when it was on sale because I figured it was worth a try for the price and after a month of use its safe to say that so far nothing has compared for me.  I currently have it on and after 11 hours + work for 7 it still looks BEAUTIFUL.  I'd recommend to anyone that has oily skin, it might not be the best for dry skin though but I've never noticed any clinging to dry patches with this one either * My fav skin tint! * I absolutely LOVE this foundation! Its buildable, and a little goes a long way! I love a natural/matte look, so i really enjoy how this looks on my skin. I have acne and scarring, as well as redness. It doesnt feel heavy, and it lasts me over 12 hours along with my skin prep."
2,it cosmetics,cc+ cream with spf 50+,xlsimpprod5770257,2264064,
3,dior,dior forever fluid skin glow foundation,pimprod2036824,2605019," * Glowy, medium to full coverage, fancy. * I absolutely love this foundation * I wanted to try this a few times before giving my final thoughts. Im a healthcare worker who regularly works 12 hour shifts. That being said, I have tried & tested SO many foundations this year. My issue with other foundations is the fact that it doesnt last through a shift. I was always dealing with creasing, patching, flaking and just looking cakey. I tried different skin prep, primers, setting powders/ sprays and nothing changed. Ive been wanting to try this foundation now for a while and finally did.. and let me tell you- this is the best purchase ive ever made. It holds up beautifully, and it still looks just as amazing at the end of the day. Every issue ive had with other foundations, never happened with this. 
I have very sensitive & acne prone skin and this has not given me any sort of reaction or break out. My first shift wearing it, i received so many compliments. It gave me my confidence back! I will continue to repurchase this. * I dont have sensitive skin. I never broke out from a cosmetic product and this immediately caused the worst reaction on my face. My skin was dry itch and peeling. This foundation has a fragrance in it and it is not good for the skin. Sucks because i really liked the product. * I bought this for my mom. She loved it so much that I had to buy one for myself. The coverage is outstanding. We have been using it for a bit now, this is her 4th bottle and my 1st. Will definitely buy again! * This foundation leaves a beautiful dewy finish in my over 50 skin!! * Dior doesn't disappoint.  Even better layered. Do the coverage that works for you.  Lasts all day perfectly."
4,bareminerals,original loose powder foundation spf 15,vp11362,2093947,
5,lanc̫me,teint idole ultra wear 24h full coverage foundation,pimprod2039028,2608119," * My skin is very sensitive and reacts to almost anything. This foundation, however, has not irritated my skin at all. I have actually noticed an improvement in my skin and my makeup. I also like that it has spf in it. This is my forever foundation! * This foundation feels so good on the skin, is lightweight since it's buildable and even if you do more layers it never feels to heavy. Love that it comes with hyluronic acid and SPF. Super easy to blend just be careful and use it with the right primer * This is a good product. Decently long lasting even with daily use. I have found through trial and error that the Nars light reflecting foundation looks better on my skin. * I used this combined with a brightening serum, and it looked simply wonderful! * Ever since they discontinued my shade, the alternative color is off. Very disappointed * This was on sale so I decided to try it. I've been looking for a medium coverage foundation that isn't dewy. I use a primer as well as a light powder to finish it off and it lasts all day without having to reapply. I finally found my go-to!!! * If you want a natural looking on the full side of coverage foundation - this ones for you! Never looks cakey at all and isnt too dry and flaky that dry skin couldnt pull it off."
6,mac,studio fix powder plus foundation makeup,xlsimpprod15921242,2510813,
7,too faced,born this way natural finish longwear liquid foundation,xlsimpprod12621017,2290021,
8,nars,light reflecting advanced skincare foundation,pimprod2030141,2591117," * I recommend everyone, especially now I  turn 42 It makes me look like I'm  30 year old . I like you a lot. * i was so excited to use this foundation only to find out after a couple hours of wearing it, it creases on my skin, dries it up, and gets patchy. i wish i liked this product from how much its praised online. disappointed fr. * Great foundation * After trial and error, this is the foundation that looks best on my extremely fair skin. I apply with a sponge and it lasts all day. Makes my skin look flawless with great coverage. Will repurchase! * From a little distance it looks great. Up close it looks a mess. I always use moisturizer before applying my makeup and this stuff does not blend into my skin well and makes my face look dry * They were out of my normal foundation from nars. It has good coverage but it runny when you put it on and doesnt have the same luster as radiant wear foundation. Its ok for a change but wouldn't purchase again. * I used the foundation finder tool on NARS' website and it recommended the shade Patagonia.  It was a perfect match!  I apply it with a brush and use 2 tiny pumps of foundation and it covers everything - blemishes, dark circles, etc.  Does not look like I am wearing foundation which is the key."
9,mac,studio fix fluid spf15 24hr matte foundation + oil control,pimprod2044825,2622206," * The old fomula was amazing, had perfect coverage, and didnt cause breakouts. This new formula is runny, doesn't blend as well, and contains salicylic acid which caused dry patches and made my skin flake. * I * I love that it helps control oil in some areas but doesnt dry my skin out in others. It genuinely lasts all day long. I'm a working mom, and i would find other foundations wouldnt look good after only 7 hours. If you're looking for something beautiful and reliable, this is it! * I had to return this foundation. It's very ashy looking. Mac used to blend so easily with my skin tone but now the shades or maybe the undertone is off. * Very good coverage very light doesn't look. I highly recommend. * Yes, it was my birthday. I went in. I got lucky what are the odds? I find my color and it's 75% off. I love it. Good makeup good quality. * This looks fine but I can still smell it hours later. It's gross!! Soo bummed!!"
