,Unnamed: 0,Brand,Name,ID,sku,comments
0,0,clinique,almost lipstick,xlsimpprod10792007,2153395,
1,1,nyx professional makeup,lip lingerie xxl long-lasting matte liquid lipstick,pimprod2024490,2578930,"  No, not really.  You didn't have the one I wanted. This was the closes matt color to what I wanted. I had never purchased this brand before.  It's very thick and it flakes.  A little brighter than expected but last about 4 to 5 hours. Less expensive than what I have been using.  Good product and last long.  Goes on smooth with a matte look.  The reason for 4-star rating is because they changed the color that I normally wear.... now way too dark.  Oh.My.Gosh! The fricking pigment is crazy! This lasts all day and is kinda hard to get off not going to lie! Although this lipstick is long lasting, it does take a bit to dry if you use a substantial amount! I really like this product because you can make your lips very dark, if you use alot, or make them light, if you use a little.  Untamable is a beautiful, true red. It glides on nicely, dries down quickly, doesn't transfer, and even lasts through a meal. The only downside is that it is a little dry but that is a small price for the color payoff and longwear. And the 🍒 on top is the price. This lipstick is an incredible value.  this is one of my favorite cheap matte long lasting lippie I use to buy stila but it's kind of expensive and this is a cheaper version of something I like  idk what is the hype but after about a month, formula starts to dry. When on lips, it peels very bad. I tried multiple colors, including the black one. save money and go for another product."
2,2,mac,mÂ·aÂ·cximal silky matte lipstick,pimprod2043558,2621407,"  i like how easily it went on. long lasting and matte finished look. it didn't dry out like others and has a creamy feel. i'd definitely recommend!  Great colors, goes on smooth and at a decent price.  It's too drying for me, but can't wait to try in a satin finish!!  100/10. Whirl is the most beautiful shade that would look good on all shades. The wear is good too! I get compliments everytime I wear this, it goes with every makeup look, ive used this shade for over 10 years. Get it!!!!💗💗💗💗  Honey love is my favorite pinky nude! 
The new packaging feels lux and seems a bit bigger. 
The formula is smooth and buttery, color last quiet a bit on the lips.  Transfer is minimal.  I'm so sad that this is the second lipstick that broke on me. I was applying it on with very little of the lipstick out when it shifted all the way from the bottom. I was thinking.. what just happened. I shifted the lipstick sideways when it all fell out. This was maybe only the second time I had applied it on. I was very upset because I really love the color. I got ""Chilli"" and I really like how it looks. I just put it back into the lipstick holder and will continue to use it. I'm very disappointed in the quality of this product for how much it cost and the prestige it carries, I expect more!  Shade Lady Danger has a formula that is so soft that it breaks. This is now the third lipstick in this particular shade I've tried and it always either comes broken or breaks in demo. Do not buy! You will end up either spending double on a second lipstick to replace this one when it inevitably breaks."
3,3,rabanne,dramalips glassy lipstick,pimprod2045103,2623335,"  I bought the drama lips in the shade go bankrupt. I love the shade but there's not as much shine as it claims to have. With that being said this does have fantastic wear time and fades nicely. I do recommend using a lip liner and maybe a lip primer.  I have no tie or bias to this brand, I've actually never heard of it before… But I am a lip product junkie so I decided to try this product and I absolutely love it. The shade first date is such a beautiful, every day color, especially for my fellow brown girls 🤎 - besides the shade I also really enjoy the formula, it applies smoothly and can be built up for a more opaque look. The staying power is great; now this is not transfer proof, but if you don't touch your lips, it lasts for a resonable amount of time, it stayed on  through a sweaty workout.  Super happy with this purchase. It glides on, doesn't dry out my lips, and the color is spot on. My only problem? I got it two days ago and can't find it anymore. 😂🫠 Time to purchase another, I guess!  The color payoff is beautiful, and so far has been hydrating on my lips. Reference I do have dry lips."
4,4,tarte,maracuja juicy lip crÃ¨me,pimprod2036935,2604716,"  I'm a lip balm/ lip gloss kind of girl. When I tell you any of these shades are amazing! Including the PH changing ones! The coverage is insane, super Lucious and glossy and last for hours!! Def a must have if you love a Lucious, juicy lip!  I was told it was a long lasting lip stick but it isn't. Very expensive for a mediocre product.  After speaking with an in store consultant,.this product was recommended for my age. I stated that I did not want lipstick that ran into the lines around my mouth and that's exactly what it did. Returned to the store. Not impressed.  Not a long lasting color at all  So glad the consultant showed me this color and the fact it is a Matt finish. It is a lasting color, but not sticky  I love this lip creme! It makes my lips feel great and it looks so great. It is a bit pricey but I love it.  For the price of this lipstick I would expect more lasting color.  My maybelline works just as well."
5,5,lancÃ´me,l'absolu rouge cream lipstick,pimprod2030262,2590100,"  Better! I had been using the same Lancôme lipstick for decades. But I think that it was time for a change!  Used to be called champaign.  Love how subtle the color is. How it goes with all type of makeup color palettes.  Very moist and the color is a perfect nude! 
I would give it five stars if it stayed on longer.  I have been using this beautiful color for 30 years. It goes with all colors of clothes! Wears great, beautiful on!  I am have lip sensitivity to products. I went in looking for a clean product... was directed to this lipstick. Not clean- still had a reaction.  Favorite classic lipstick! I've been wearing the same shade for over a year"
6,6,charlotte tilbury,matte revolution lipstick,pimprod2043355,2619356,"  amazing!!  This lipstick is long lasting but it is a matt lipstick so it is a little drying (at least for me). I have to make sure to use a lip sleeping mask to make sure my lips are conditioned really good. I love lipstick and have stuff ranging from dollar store, drug store and lux. My advice is if you have never tried a lux lipstick and are curious, you can probably skip this one. I have lipstick from the dollar store that I reach for over this one.  I'm  disappointed in this one! I have  2 other lipsticks in this line. They are more moisturizer.  I ended up  tossing it out. Maybe it's  the manufacturers fault!  This is my second favorite color of her line. It definitely feels like moisture on my lips. I would buy it again!  I would buy this one again!  I love the shade, however I wish this was more hydrating! It feels dry and flakey soon after applied and doesn't last.  Literally my new fav lipstick"
7,7,milani,color statement lipstick,xlsimpprod17081065,2519976,
8,8,kylie cosmetics,matte lip kit,pimprod2026503,2583997,"  Love the product it is my favorite. Shade perfect, pricey but worth it.  absolutely love it  Felt like a wet and wild product super cheap  Love it  Buy it !!  Love Kylie lipkits! However the formula is VERY VERY drying! But if you can get past that you'll have a lipstick that lasts you ALLLL day long!  This is very drying."
9,9,chanel,le rouge duo ultra tenue ultrawear liquid lip colour,pimprod2029989,2532593,"  Nothing has come close to the staying power of this lipstick. Ive been using it as a base color for over 10 years. 
I layer it with the gloss or another lipstick. Lasts throughout the day.  Sticky after application, transfers, wears off unevenly and very quickly.  Amazing, long lasting color. Beautiful and comfortable with the glissy topcoat. Worth the money for the nuanced shades and quality.  I just bought this lipstick a few days ago in the color 154 And I cannot put it down!! Its such a beautiful rich color. The pigment is great. It feels super luxe. It also lasts through eating and drinking. What more could a girl want!? I will be grabbing more colors 100%.  I have in 2 colors and they are very rich in color. I love them.  I love these lip glosses!!!! They stay on for hours!  Best lipstick I have ever used and I've tried them all! Stays all day and moisturizes lips as well. Going to buy more colors"
